ID	Category	Language	Genre	Genre2	Pubdate	Author_Last	Author_First	Work_Title	Translation	PubHouse	Prize	WinnerShortlist	Author_Gender	Author_Nationality
2011_Edugyan,Esi_Halfbloodblues_PW.txt	FIC	English	PW		2011	Edugyan	Esi	Halfbloodblues		Serpent'sTail	TheManBookerPrize	Shortlist	F	Canada
2011_Egan,Jennifer_AVisitFrom_BS.txt	FIC	English	PW		2011	Egan	Jennifer	AVisitFrom		AlfredA.Knopf	PEN/FaulknerAwardforFiction	Shortlist	F	US
2011_Eisenberg,Deborah_TheCollectedStoriesofDeborahEisenberg_PW.txt	FIC	English	PW		2011	Eisenberg	Deborah	TheCollectedStoriesofDeborahEisenberg		Picador	PEN/FaulknerAwardforFiction	Winner	F	US
2011_Evanovich,Janet_ExplosiveEighteen_BS.txt	FIC	English	BS		2011	Janet	Evanovich	ExplosiveEighteen					F	US
2011_Evanovich,Janet_SmokinSeventeen_BS.txt	FIC	English	BS		2011	Janet	Evanovich	SmokinSeventeen					F	US
2011_Fenech,Karen_Imposter_ROM.txt	FIC	English	ROM		2011	Fenech	Karen	Imposter					F	US
2011_Frater,Rhiannon_FightingtoSurvive_SF.txt	FIC	English	SF		2011	Frater	Rhiannon	FightingtoSurvive					F	US
2011_Gardner,Lisa_LoveYouMore_BS.txt	FIC	English	BS		2011	Lisa	Gardner	LoveYouMore					F	US
2011_Grafton,Sue_VisForVengeance_BS.txt	FIC	English	BS		2011	Sue	Grafton	VisForVengeance					F	US
2011_Harkness,Deborah_DiscoveryofW_BS.txt	FIC	English	BS		2011	Deborah	Harkness	DiscoveryofW					F	US
2011_Harris,Charlaine_DeadReckoning_BS.txt	FIC	English	BS		2011	Charlaine	Harris	DeadReckoning					F	US
2011_Hunter,Erin_SignoftheMoon_MG.txt	FIC	English	MID		2011	Hunter	Erin	SignOfTheMoon					F	
2011_James,EL_FiftyShadesofGrey_BS.txt	FIC	English	BS		2011	EL	James	FiftyShadesofGrey					F	UK
2011_James,PD_DeathComestoPemberley_BS.txt	FIC	English	BS		2011	PD	James	DeathComestoPemberley					F	UK
2011_Johnson,Jean_ASoldiersDuty_SF.txt	FIC	English	SF		2011	Johnson	Jean	ASoldiersDuty					F	US
2011_Jordan,Hillary_WhenSheWoke_SF.txt	FIC	English	SF		2011	Jordan	Hillary	WhenSheWoke					F	US
2011_KondoMarie_TheLifeChangingMagicOfTydyingUp.txt	NON	English	MIX		2011	Kondo	Marie	TheLifeChangingMagicofTidyingUp					F	
2011_Lu,Marie_Legend_SF.txt	FIC	English	SF	YA	2011	Lu	Marie	Legend					F	US/China
2011_McKinlay,Jenn_BooksCanbeDeceiving_MY.txt	FIC	English	MY		2011	McKinlay	Jenn	BooksCanbeDeceiving					F	US
2011_McMann,Lisa_TheUnwanteds_MG.txt	FIC	English	MID		2011	McMann	Lisa	TheUnwanteds					F	
2011_Millard,Candice_DestinyoftheRepublic_HIST.txt	NON	English	HIST		2011	Millard	Candice	DestinyoftheRepublic					F	US
2011_Morgenstern,Erin_NightCircus_BS.txt	FIC	English	BS		2011	Erin	Morgenstern	NightCircus					F	US
2011_North,Anna_AmericaPacifica_SF.txt	FIC	English	SF		2011	North	Anna	AmericaPacifica					F	US
2011_Obreht,Tea_TheTigersWife_PW.txt	FIC	English	PW		2011	Obreht	Tea	TheTigersWife		RandomHouse	TheNationalBookAwards	Shortlist	F	US
2011_OConnell,Carol_TheChalkGirl_MY.txt	FIC	English	MY		2011	OConnell	Carol	TheChalkGirl					F	US
2011_Oliver,Lauren_Liesl&Po_MG.txt	FIC	English	MID		2011	Oliver	Lauren	LieslAndPo					F	
2011_Patchett,Ann_StateofWonder_BS.txt	FIC	English	BS		2011	Ann	Patchett	StateofWonder					F	US
2011_Picoult,Jodi_SingYouHome_BS.txt	FIC	English	BS		2011	Jodi	Picoult	SingYouHome					F	US
2011_Revis,Beth_AcrosstheUniverse_SF.txt	FIC	English	SF	YA	2011	Revis	Beth	AcrosstheUniverse					F	US
2011_Roberts,Nora_ChasingFire_BS.txt	FIC	English	BS		2011	Nora	Roberts	ChasingFire					F	US
2011_Roberts,Nora_TheNextAlways_BS.txt	FIC	English	BS		2011	Nora	Roberts	TheNextAlways					F	US
2011_Sage,Angie_Darke_MG.txt	FIC	English	MID		2011	Sage	Angie	Darke					F	
2011_Sandler,Karen_Tankborn_SF.txt	FIC	English	SF		2011	Sandler	Karen	Tankborn					F	US
2011_Slaughter,Karin_Fallen_MY.txt	FIC	English	MY		2011	Slaughter	Karin	Fallen					F	US
2011_Slonczewski,Joan_TheHighestFrontier_SF.txt	FIC	English	SF		2011	Slonczewski	Joan	TheHighestFrontier					F	US
2011_SpencerFleming,Julia_OneWasASoldier_MY.txt	FIC	English	MY		2011	SpencerFleming	Julia	OneWasASoldier					F	US
2011_Stevens,Chevy_NeverKnowing_MY.txt	FIC	English	MY		2011	Stevens	Chevy	NeverKnowing					F	Canada
2011_Stevens,Taylor_TheInformationist_CT.txt	FIC	English	NYT		2011	Stevens	Taylor	TheInformationist					F	US
